Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,2024 CHANEL UK & IRELAND ADVERTISING BUDGET,,,,,,,,,,,,,
,Note:,,,,,,,,,,,,,
,UK DIVISION TOTAL,F&B,FSH&EW,WFJ,GRAND TOTAL,,,,,,,,,
,"TOTAL ALL MEDIA BUDGET 
INCL. COMMISSION ",1014000,0,0,1014000,,,,,,,,,
,,,,,,,,,,,,,,
,Last Update: 07.11.24,,,,,,,,,,,,,
,UK MARKET,GRAND TOTAL,TOTAL F&B,NO.5 ,COCO MELLE,CHANCE,BLEU,MAKE-UP,SKINCARE,FASHION,EYEWEAR,"WATCHES 
(includes Coop)",FINE JEWELLERY  (includes Coop),HIGH JEWELLERY  
,"MEDIA BUDGET 
INCLUDING COMMISSION
EXCL. PPC ",1014000,1014000,,,,1014000,,,,,,,
,RESERVES TO BE HELD FROM ABOVE,,,,,,,,,,,,,
,PPC,,,,,,,,,,,,,
,GRAND TOTAL INCL. PPC,1014000,1014000,0,0,0,1014000,0,0,0,0,0,0,0
,NOTES:,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,IRELAND MARKET,GRAND TOTAL,TOTAL F&B,NO.5 ,COCO MELLE,CHANCE,BLEU,MAKE-UP,SKINCARE,FASHION,,,,
," MEDIA BUDGET 
INCLUDING COMMISSION ",0,0,,,,,,,,,,,
,RESERVES TO BE HELD,0,No reserve,No reserve,No reserve,No reserve,No reserve,No reserve,No reserve,No reserve,,,,
,PPC,,,,,,,,,,,,,
,GRAND TOTAL INCL. PPC,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,
,TRAVEL RETAIL,GRAND TOTAL,TOTAL F&B,,,,,,,,,,,
," MEDIA BUDGET 
INCLUDING COMMISSION ",0,,,,,,,,,,,,
,RESERVES TO BE HELD,,,,,,,,,,,,,
