Agency,OfficeCode,ClientName,DebtorsAccountCode,MediaName,ClientCode,ProductCode,ProductName,CampaignCode,CampaignName,BuyMonth,BuySerial,BookingCategoryShortname,SupplierName,BuyerName,BuyerPID,BuyDate,BookedDate,LastAmendedInvoice,CampaignReference,ClientReference,BillComments,PO,PO_Reference,Gross,MediaDiscountPercentage,Payable,Paid,UnPaid,AgencyCommission,Billable,Billed,UnBilled,LevyBillable,Unbilled Client Cost,VATBillable,Vouchered,AgencyCommentBy,Action,AgencyCommentDate,Bill,LocalCurrencyCode,AccountExchangerate,BillableCurrency,ASBOF / BASBOF,BilledCurrency,UnbilledCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,May-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,PO00060490,PO00060490,PO00060490,PO00060490,,,500.00,,,17.50,,,,5.00,522.50,,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00060490,,PO00060490,PO00060490,,,"25,000.00",,,875.00,,,,250.00,"26,125.00",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,PO00060490,PO00060490,PO00060490,PO00060490,,,"2,500.00",,,87.50,,,,25.00,"2,612.50",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00060490,,PO00060490,PO00060490,,,"12,000.00",,,420.00,,,,120.00,"12,540.00",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,BiddSocial,SNAPCHAT,,,,,,,PO00060490,PO00060490,PO00060490,PO00060490,,,"18,000.00",,,630.00,,,,180.00,"18,810.00",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00060490,,PO00060490,PO00060490,,,"24,000.00",,,840.00,,,,240.00,"25,080.00",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,PO00060490,PO00060490,PO00060490,PO00060490,,,"20,000.00",,,700.00,,,,200.00,"20,900.00",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BLEU,3,CHANEL_BLEU H1 24_SOCIAL,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,PO00060490,PO00060490,PO00060490,PO00060490,,,"8,000.00",,,280.00,,,,80.00,"8,360.00",,Vouchered,,OK,,Y,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY - MAKE UP,4,C50/07_CHANEL_SOCIAL_BEA,May-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,PO00062544:SOCIAL,,PO00062544,PO00062544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,May-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,POSTER,,,BEAUTY - MAKE UP,4,CHANEL NO.5 LEAU,Jun-24,,Poster,TALON OUTDOOR LTD,,,,,,,PO00068664,PO00068664,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,POSTER,,,BEAUTY - MAKE UP,4,CHANEL NO.5 LEAU,Jun-24,,Poster,TALON OUTDOOR LTD,,,,,,,PO00068664,PO00068664,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,POSTER,,,BEAUTY - MAKE UP,4,CHANEL NO.5 LEAU,Jun-24,,Poster,TALON OUTDOOR LTD,,,,,,,PO00068664,PO00068664,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,POSTER,,,BEAUTY - MAKE UP,4,CHANEL NO.5 LEAU,Jun-24,,Poster,TALON OUTDOOR LTD,,,,,,,PO00068664,PO00068664,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,POSTER,,,BEAUTY - MAKE UP,4,CHANEL NO.5 LEAU,Jun-24,,Prod Poster,TALON OUTDOOR LTD,,,,,,,PO00068664,PO00068664,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00062541,,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
